carat,cut,color,clarity,depth,table,price,x,y,z
1.2,Ideal,H,SI1,61.1,55.9,6440,6.89,6.87,4.22
1.99,Ideal,D,SI2,60,56.1,15236,8.05,8.03,4.9
0.52,Ideal,F,VVS1,64.3,58.3,4162,5.05,5.1,3.2
0.55,Fair,D,VS2,63.5,58.3,2361,4.54,4.77,3.21
0.6,Very Good,D,VS2,62.7,55.8,1659,5.4,5.4,3.37
0.78,Premium,G,SI2,60.7,58.9,2289,5.96,5.94,3.64
0.41,Premium,H,SI2,62.2,58.9,638,4.7,4.79,2.81
0.31,Premium,G,SI2,63,57,543,4.35,4.33,2.73
1.22,Premium,G,VS1,62.6,60.8,8460,6.86,6.84,4.24
2.42,Fair,H,SI2,66.9,56.9,12680,8.12,7.65,5.34
0.32,Premium,G,VS1,61.4,56.7,557,4.29,4.31,2.63
0.54,Very Good,G,SI1,62.4,57.5,1370,5.3,5.3,3.27
0.46,Ideal,E,VVS2,62.1,54,1567,4.91,5.01,3.08
0.51,Premium,F,VS2,61.8,57.9,1301,5.19,5.16,3.19
1.09,Very Good,H,SI1,62.9,56.3,4631,6.45,6.48,4.08
1.5,Ideal,H,VS2,61.5,58.4,9646,7.27,7.14,4.53
1.06,Fair,D,SI2,65.5,56.6,3352,6.29,6.22,4.11
1.15,Very Good,D,SI2,62.2,59.5,4963,6.7,6.71,4.15
0.46,Very Good,G,VS1,59.2,62.1,1037,5.04,5.01,2.95
0.48,Ideal,G,IF,61.6,54.8,1467,5.01,5.04,3.13
1.58,Ideal,G,SI1,62.2,55,10343,7.41,7.42,4.59
0.51,Premium,E,VS2,61.8,58.2,2076,5.08,5.05,3.15
0.51,Premium,F,SI2,62.3,57,1104,5.17,5.08,3.19
0.75,Very Good,E,SI2,61.3,56.9,2594,5.85,5.9,3.53
1.42,Ideal,G,VVS2,62.6,57,12573,7.37,7.23,4.53
1.16,Ideal,H,VS1,62.4,56.6,5814,6.68,6.63,4.16
0.72,Very Good,E,SI1,62.2,56.6,2430,5.72,5.89,3.59
1.5,Ideal,H,VS2,62.2,57.2,10858,7.31,7.31,4.55
1.01,Premium,F,VVS2,61.2,58.2,7746,6.4,6.37,3.98
0.36,Ideal,E,VS2,61.4,57.3,742,4.61,4.66,2.86
0.87,Premium,H,SI2,58.3,60,3370,6.31,6.31,3.7
0.49,Premium,D,VS2,61.3,57,1399,5.06,4.94,3.13
1.01,Very Good,I,SI2,62.4,58.9,4687,6.36,6.39,3.97
0.68,Premium,G,SI1,60.1,56.7,2680,5.8,5.77,3.5
0.41,Ideal,E,SI1,62.3,56.6,810,4.8,4.46,2.98
1.05,Very Good,G,SI1,59.7,59.3,4923,6.6,6.68,3.96
0.73,Ideal,G,SI2,63.1,57.6,2405,5.72,5.66,3.61
1.19,Very Good,I,SI1,63.1,58.8,5333,6.74,6.74,4.22
0.37,Good,E,VVS1,62.3,58.9,873,4.59,4.57,2.85
0.31,Ideal,I,SI1,62,53.4,492,4.39,4.4,2.72
0.63,Very Good,H,VVS1,60.4,58.1,2894,5.76,5.82,3.49
