carat,cut,color,clarity,depth,table,price,x,y,z
0.73,Premium,G,SI2,62.1,59.0,1078,6.27,5.7,3.59
0.56,Very Good,G,VS1,61.9,56.0,1365,5.14,5.1,3.28
0.72,Ideal,H,VVS2,62.0,55.0,2432,5.71,5.8,3.66
0.33,Ideal,D,VS2,62.8,57.0,1032,4.31,4.39,2.59
0.89,Ideal,H,SI1,62.2,55.0,2773,5.98,6.27,3.86
0.39,Very Good,G,VVS1,62.3,58.0,1027,4.37,4.43,2.77
0.43,Ideal,J,VVS2,62.8,56.0,1592,4.78,4.72,2.96
0.29,Ideal,D,VVS1,61.0,57.0,1081,4.32,4.35,2.66
0.52,Good,E,IF,63.8,56.0,1324,5.2,4.98,3.11
0.3,Ideal,G,SI1,62.8,56.0,617,4.47,4.41,2.62
1.85,Very Good,I,SI2,66.0,61.0,9912,7.3,6.64,4.65
0.28,Very Good,D,VVS2,60.5,59.0,514,4.68,4.66,2.8
0.33,Ideal,F,VVS1,62.6,55.0,915,4.43,4.36,2.6
0.73,Premium,I,VS1,61.2,60.0,891,5.12,5.81,3.29
0.32,Premium,D,SI1,61.4,60.0,1007,4.72,4.71,2.74
0.25,Good,H,VS2,63.2,56.0,1093,4.91,4.59,2.74
0.92,Ideal,I,VS2,61.9,56.0,4640,6.11,6.63,4.09
1.52,Premium,G,VS2,62.2,59.0,8268,7.21,7.06,4.58
0.33,Ideal,D,VS1,60.8,60.0,763,4.45,4.4,2.88
0.27,Very Good,E,VVS1,60.9,56.0,331,3.71,4.36,2.52
0.93,Very Good,E,SI1,62.4,59.0,3522,6.31,5.94,3.94
2.14,Good,I,SI1,59.6,60.0,16592,8.35,7.5,4.62
1.25,Premium,E,SI1,61.1,59.0,5792,6.86,6.84,4.1
0.73,Fair,G,SI1,67.4,56.0,2370,5.62,5.55,4.09
0.74,Fair,F,I1,73.0,61.0,3006,5.86,5.71,4.08
1.51,Fair,I,VVS1,62.3,56.0,9447,7.28,7.38,4.62
0.34,Premium,G,IF,61.8,60.0,550,4.38,4.44,2.7
1.36,Very Good,J,SI2,61.8,55.0,4923,7.5,7.34,4.5
1.01,Very Good,H,SI1,62.1,60.0,4854,6.52,6.28,4.05
1.0,Premium,E,SI1,58.4,62.4,8869,6.27,6.66,3.87
1.16,Very Good,G,SI2,61.7,61.0,4389,6.31,6.85,4.11
0.36,Very Good,G,VS1,62.7,56.0,759,4.22,4.46,2.82
0.6,Premium,E,SI1,62.0,58.0,971,5.54,5.24,3.16
1.08,Very Good,J,SI1,63.1,55.0,3528,6.06,6.47,4.1
1.22,Very Good,F,VS2,61.9,59.0,4939,6.81,6.91,4.16
0.43,Very Good,J,VVS2,60.2,58.0,845,5.82,4.46,2.67
0.31,Very Good,H,VVS2,63.2,55.0,894,4.36,4.39,2.74
1.17,Fair,J,SI1,67.4,57.0,3955,6.87,6.8,4.19
2.03,Good,H,SI2,63.4,62.1,4145,8.21,6.33,4.61
1.02,Premium,J,SI1,60.1,59.0,4295,6.14,6.35,3.81
1.01,Ideal,D,SI1,61.8,59.0,5268,6.65,6.6,3.97
0.33,Very Good,E,VVS2,61.1,58.0,612,4.28,4.33,2.71
0.9,Good,I,SI1,61.6,60.9,2291,6.28,6.39,3.92
0.73,Ideal,I,SI1,62.5,56.0,2490,6.14,6.8,4.16
1.24,Very Good,E,SI1,62.4,58.0,3502,6.84,6.95,4.44
0.3,Good,G,VVS2,63.6,60.0,750,4.47,4.35,2.7
1.16,Fair,D,SI1,66.0,61.0,4266,6.05,6.3,4.28
2.39,Premium,H,I1,60.5,60.0,18823,8.6,8.28,5.09
0.52,Ideal,D,SI1,61.8,55.0,738,5.24,5.08,3.12
0.69,Very Good,F,VS2,61.1,60.0,753,4.89,4.42,2.61
0.34,Very Good,E,IF,59.9,58.0,646,5.12,4.42,2.64
0.28,Ideal,F,VVS1,61.0,56.0,509,4.39,4.34,2.75
1.56,Premium,J,VS2,61.5,58.0,10385,7.51,7.43,4.51
0.3,Premium,G,SI1,62.2,58.0,795,4.35,4.39,2.7
0.71,Premium,J,VS2,66.0,59.0,3124,5.63,6.48,4.13
0.32,Very Good,H,IF,61.1,57.0,670,4.34,4.41,2.71
1.5,Good,I,VS2,59.2,60.0,10440,7.56,7.43,4.6
0.28,Good,F,I1,63.6,57.0,792,4.15,4.22,2.65
0.74,Very Good,H,SI2,65.2,59.0,4365,5.75,6.35,3.62
0.35,Premium,G,VVS1,59.5,60.0,735,4.46,4.4,2.8
0.3,Ideal,G,VS2,62.6,60.0,764,4.47,4.42,2.61
0.53,Ideal,E,VS2,62.3,55.0,1578,5.18,5.37,3.33
0.56,Fair,G,VS2,66.3,55.0,1679,4.86,5.12,3.0
1.5,Premium,J,VS2,61.0,59.0,10691,7.22,7.54,4.58
0.33,Ideal,D,VS2,62.1,55.0,942,4.38,4.42,2.57
0.51,Ideal,G,VS2,60.8,55.0,2018,5.24,5.24,3.2
0.71,Good,E,SI1,63.8,55.0,2779,5.79,5.74,3.56
1.12,Ideal,G,SI2,62.8,56.0,3687,6.47,6.61,4.26
1.69,Premium,G,SI2,61.6,59.0,4835,7.12,6.37,3.92
