carat,cut,color,clarity,depth,table,price,x,y,z
1.1,Ideal,F,VS1,60.1,56.0,8740,6.67,6.79,4.04
0.41,Ideal,I,SI1,61.4,56.0,504,4.54,4.73,2.92
0.31,Ideal,G,VVS2,60.7,56.0,849,4.43,4.44,2.69
1.02,Premium,H,SI1,60.7,58.0,4489,6.33,6.46,3.95
0.29,Very Good,F,VVS2,61.6,58.0,873,4.31,4.29,2.63
1.01,Ideal,D,VS2,62.4,57.0,8452,6.43,6.34,3.97
0.28,Good,G,VVS2,60.2,62.7,832,4.25,4.68,2.86
1.03,Premium,D,VS2,63.8,57.0,7443,6.16,6.25,4.17
0.88,Very Good,E,SI1,58.5,59.0,792,4.28,4.3,2.73
1.03,Premium,I,VS1,60.6,59.0,4871,6.63,6.64,3.97
0.3,Ideal,E,VVS2,61.3,56.0,815,4.55,4.47,2.65
1.13,Very Good,D,VS1,61.0,56.0,9010,6.95,6.94,4.03
1.01,Premium,G,VS1,62.6,58.0,5853,6.38,6.25,3.93
1.03,Ideal,G,SI1,61.8,56.0,5049,6.43,6.4,3.94
1.02,Good,G,VVS2,63.3,59.0,6357,6.46,6.29,4.0
0.54,Good,I,VS2,60.6,57.0,974,5.36,5.38,3.28
0.74,Ideal,D,SI2,60.7,56.0,2537,5.82,6.59,3.88
0.68,Ideal,D,VS2,62.3,56.0,3439,5.61,5.61,3.49
1.03,Ideal,G,VVS1,63.8,56.0,9987,7.35,7.28,4.22
1.05,Premium,J,SI2,59.0,57.0,2966,7.09,6.41,4.08
0.65,Ideal,F,VVS2,62.0,57.0,17579,7.44,7.45,4.62
1.29,Very Good,I,SI1,62.5,60.0,5048,6.46,6.62,4.23
1.01,Ideal,I,SI2,61.8,56.0,3470,6.39,6.47,3.95
0.73,Premium,E,SI2,59.8,59.0,2171,5.78,5.33,3.38
1.0,Very Good,I,VS2,62.6,56.0,4397,6.29,6.22,4.15
1.58,Very Good,G,SI1,59.0,59.0,12459,7.69,7.88,4.7
1.1,Very Good,I,VS1,60.0,59.0,5157,6.44,6.62,3.96
0.33,Very Good,D,SI1,63.1,56.0,639,4.27,4.38,2.76
1.02,Ideal,F,SI2,61.3,56.0,3719,6.67,6.58,3.9
0.51,Ideal,H,SI2,61.7,56.0,1315,5.03,5.26,3.2
