carat,cut,color,clarity,depth,table,price,x,y,z
0.3,Very Good,H,VS2,62.8,58.0,523.6885,4.206352,4.26,2.68
0.7,Premium,G,SI2,61.8,60.0,1844.1705,5.7315326,5.706016,3.53
1.7,Very Good,H,SI2,59.9,60.0,12332.294,7.9420147,8.102016,4.652029
0.5521648,Ideal,G,VVS2,62.8,57.0,2031.9532,5.2028456,5.27,3.289379
1.02,Premium,G,SI1,62.4,58.0,4695.5273,6.4869533,6.47,4.02
1.21,Premium,I,VS1,61.2,59.0,6145.8994,6.8,6.84,4.2032633
0.32,Ideal,F,VS1,61.7,56.0,605.0,4.41,4.4,2.71
0.51,Ideal,E,VVS2,61.7,57.0,1411.7795,5.160338,5.143466,3.18
0.33,Premium,G,VS2,60.1,59.0,644.67834,4.47,4.54,2.7258272
0.41,Ideal,G,SI1,62.7,57.0,1046.117,4.76,4.72,2.98
0.24,Ideal,D,VVS2,60.7,57.0,596.0,4.1462965,4.2760777,2.5120285
0.4356849,Premium,E,VS2,63.1,56.0,814.45233,4.9721923,4.84,3.1797144
0.3,Very Good,F,VS1,62.4,59.0,435.98175,4.28,4.35,2.7
1.0,Premium,G,SI2,61.301357,58.0,3370.937,6.3805084,6.36,3.93
1.0631939,Ideal,H,SI1,62.7,59.0,5381.6914,6.486413,6.495086,4.05
1.7638211,Fair,H,SI2,65.45174,59.0,10483.876,7.6346817,7.618891,5.0427427
0.93,Very Good,D,SI1,62.9,57.0,4338.5996,6.0975027,6.232403,3.92
0.31,Ideal,F,VS2,61.5,54.0,692.12085,4.41,4.42,2.71
0.51,Ideal,I,SI1,62.4,56.0,913.09235,4.82,4.9543977,3.1202364
1.04,Premium,G,SI2,60.3,62.0,4364.7373,6.58,6.54,4.01
0.33,Very Good,I,VS2,62.6,55.0,504.74747,4.44,4.45,2.8
1.01,Premium,I,VS1,62.3,60.0,4665.808,6.37,6.36,3.97
1.02,Ideal,I,IF,60.9,56.0,5244.974,6.54,6.59,4.01
0.32,Ideal,G,IF,61.5,56.0,962.3159,4.43,4.45,2.74
0.37,Very Good,E,SI1,60.6,58.0,730.4247,4.62,4.71,2.8
1.1110146,Ideal,I,SI2,62.4,54.0,4974.048,6.612016,6.7,4.16
0.51,Ideal,H,SI2,61.213394,57.0,810.9591,5.131013,5.21,3.18
0.54,Premium,E,VVS2,61.9,57.46357,2263.3704,5.21,5.23,3.25
0.32,Very Good,E,VS1,63.1,58.0,996.5056,4.37,4.37,2.78
0.72,Premium,E,VS2,60.9,60.0,3554.454,5.79,5.8,3.54
0.57,Ideal,E,VS1,62.2,55.0,1922.5817,5.31,5.3303676,3.38
1.0939177,Ideal,G,VVS2,62.1,57.0,7851.438,6.62,6.67,4.13
0.41,Ideal,D,SI1,62.0,55.0,727.1263,4.755234,4.8,2.9888082
0.73,Very Good,D,SI2,59.3,60.0,2836.2534,6.18,6.26,3.57
1.03,Ideal,J,SI2,62.5,56.0,3537.2026,6.47,6.49,4.04
0.32,Premium,G,SI1,62.6,58.0,612.32776,4.35,4.35,2.71
0.32,Ideal,G,VS1,61.8,55.0,757.87317,4.42,4.4083314,2.74
0.34,Very Good,F,VS2,61.1,60.0,625.0,4.5,4.52,2.76
1.06,Premium,I,VVS2,60.8,59.0,5742.0776,6.6519203,6.66,4.02
1.8602226,Premium,J,SI2,61.003956,58.0,11100.15,8.011137,7.9344554,4.7704
1.07,Premium,G,SI1,61.1,58.91812,5688.953,6.63,6.6064987,4.04
0.23443146,Ideal,E,SI1,63.6,54.0,458.89255,3.9526832,3.976593,2.5929878
0.32,Ideal,F,VVS2,61.6,55.0,1073.1454,4.48,4.47,2.74
0.31,Premium,G,SI1,62.6,59.0,656.13544,4.35,4.32,2.71
0.51,Very Good,H,VS2,60.3,63.0,953.4306,5.16518,5.2300425,3.1648958
0.5,Fair,G,SI1,60.7,62.866673,881.5124,5.13,5.16,3.1996667
0.71,Ideal,G,VS1,61.6,55.0,2716.623,5.74,5.71,3.53
0.52,Very Good,F,VS2,59.454666,56.0,1236.3804,5.28,5.33,3.19
0.71,Fair,H,SI1,64.43528,56.0,2374.3643,5.7118587,5.72,3.8202584
0.37,Very Good,G,SI2,62.3,59.0,625.0,4.6,4.603739,2.88
0.32,Very Good,I,SI1,62.2,62.0,379.0888,4.36,4.44,2.73
0.51,Premium,G,VS2,62.2,60.0,1886.169,5.16,5.16,3.23
0.3,Ideal,E,VVS1,62.4,53.19711,737.0204,4.32,4.36,2.7
0.26093048,Ideal,F,VS1,62.012283,56.0,465.45575,4.1722493,4.2395115,2.62
1.22,Ideal,G,IF,62.5,56.0,9573.455,6.892528,6.8877625,4.36
0.42,Ideal,G,VS2,61.745644,56.0,1129.4126,4.82,4.83,2.9931273
0.35,Ideal,D,SI1,62.0,57.0,764.458,4.47,4.45,2.79
1.0723448,Ideal,H,IF,60.7,58.0,6340.091,6.66,6.7606506,4.05
0.23,Very Good,G,VVS2,62.0,56.0,465.65112,3.924021,3.9628282,2.4353945
0.35,Ideal,D,SI1,62.1,56.0,829.9989,4.48,4.49,2.81
0.3,Premium,E,SI1,62.2,56.0,710.0,4.33,4.22,2.68
0.51,Very Good,G,VVS2,60.5,61.0,2010.4961,5.282206,5.38,3.19
0.3,Ideal,H,SI2,62.4,56.0,472.51282,4.231272,4.2385287,2.66
