carat,cut,color,clarity,depth,table,price,x,y,z
0.29,Very Good,H,VVS2,62.1,54,450,4.24,4.29,2.63
0.82,Ideal,E,SI1,62.2,55,3577,6.02,5.97,3.73
0.57,Premium,D,VS2,61.7,56,1981,5.32,5.28,3.28
2,Very Good,I,SI2,62.7,59,13991,7.97,8,4.99
0.91,Very Good,D,SI2,58.3,60,3629,6.4,6.48,3.72
1.01,Premium,H,SI1,61.2,57,4949,6.45,6.47,3.95
0.74,Ideal,F,VS2,62.1,54,3073,5.86,5.81,3.62
1.01,Very Good,D,SI1,61.4,60,5644,6.43,6.49,3.95
0.76,Ideal,H,SI2,62.3,57,2234,5.83,5.77,3.63
0.44,Ideal,G,IF,61,57,1318,4.88,4.87,2.98
0.72,Premium,E,VS2,58.3,61,2822,5.98,5.97,3.47
1.55,Ideal,D,SI1,61.1,56,13714,7.45,7.51,4.55
1.71,Premium,G,SI1,61.3,56,11796,7.71,7.76,4.74
0.31,Premium,F,VVS2,61.8,58,945,4.35,4.28,2.7
0.38,Premium,I,VS2,61.6,60,812,4.63,4.6,2.82
0.42,Premium,G,VS1,60.8,56,1035,4.89,4.81,2.97
1.12,Premium,H,SI2,62,59,4743,6.65,6.61,4.14
0.31,Ideal,D,SI1,62.3,55,692,4.37,4.39,2.72
0.62,Ideal,G,IF,61.9,56,3378,5.45,5.49,3.38
0.73,Ideal,F,SI2,62.5,56,2445,5.75,5.78,3.6
1.16,Premium,H,SI1,60.2,60,5554,6.89,6.75,0
0.52,Ideal,G,VVS2,62.1,56,1833,5.17,5.13,3.2
1.07,Very Good,J,SI2,62.4,60,3537,6.4,6.49,4.04
0.3,Ideal,E,VVS1,60.1,59,779,4.33,4.37,2.6
1,Good,I,VS1,60.9,62,4445,6.4,6.33,3.89
1.25,Ideal,G,IF,62,56,12081,6.84,6.95,4.27
0.72,Ideal,F,VS2,62.1,55,2943,5.78,5.75,3.57
1,Premium,F,VS2,58.6,62,6468,6.53,6.48,3.78
0.72,Very Good,G,SI2,63.4,56,1960,5.73,5.62,3.63
0.36,Premium,E,SI2,62.6,58,630,4.55,4.52,2.84
1.01,Good,I,VS2,57.1,61,4239,6.68,6.74,3.81
1,Ideal,E,SI2,61.8,54,4766,6.44,6.43,3.96
1.08,Ideal,H,SI1,60.5,57,5867,6.67,6.75,4.06
0.3,Ideal,D,VS2,61.8,55,710,4.33,4.36,2.68
1.08,Premium,H,VS1,59.6,58,5247,6.71,6.67,4
1.3,Premium,J,SI1,61.7,58,5450,7.09,7.06,4.31
0.56,Premium,F,SI1,60.8,58,1415,5.31,5.28,3.24
1,Very Good,E,VS2,62.6,56,6522,6.34,6.41,3.99
0.36,Good,E,VS2,62.7,64,739,4.49,4.54,2.84
1.53,Ideal,I,SI2,61.9,58,7678,7.33,7.39,4.55
1.5,Premium,F,SI1,62.1,59,8770,7.37,7.26,4.56
1.51,Very Good,G,VVS2,63.1,55,13828,7.34,7.28,4.62
0.4,Very Good,D,VVS2,62.5,54,1030,4.75,4.76,2.97
1.06,Premium,E,VS2,61.6,59,7250,6.56,6.59,4.02
0.71,Very Good,F,VS2,63.1,58,2994,5.67,5.7,3.56
