lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
R,5.0,10.0,7.0,7.0,5.0,10.0,7.0,4.0,6.0,9.0,5.0,6.0,4.0,7.0,6.0,9.0
X,3.0,5.0,5.0,3.0,2.0,7.0,8.0,2.0,9.0,10.0,6.0,8.0,3.0,9.0,4.0,7.0
A,3.0,6.0,5.0,4.0,2.0,9.0,3.0,3.0,2.0,8.0,1.0,8.0,3.0,6.0,2.0,8.0
U,4.0,6.0,4.0,4.0,3.0,8.0,6.0,10.0,4.0,6.0,11.0,7.0,3.0,9.0,0.0,8.0
F,4.0,9.0,4.0,7.0,2.0,1.0,12.0,5.0,3.0,12.0,10.0,6.0,0.0,8.0,2.0,6.0
V,2.0,5.0,3.0,4.0,1.0,4.0,11.0,2.0,3.0,9.0,11.0,8.0,2.0,11.0,0.0,8.0
J,4.0,9.0,5.0,7.0,3.0,12.0,4.0,4.0,6.0,14.0,2.0,9.0,0.0,7.0,0.0,8.0
E,4.0,6.0,5.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,6.0,9.0,3.0,8.0,7.0,10.0
M,5.0,10.0,6.0,8.0,4.0,7.0,7.0,12.245857,2.0,7.0,9.0,8.0,8.0,6.0,0.0,8.0
J,2.0,6.0,4.0,4.0,3.0,9.0,8.0,2.0,4.0,10.0,4.0,6.0,4.0,9.0,4.0,5.0
P,2.0,3.0,3.0,2.0,2.0,5.0,8.0,3.0,5.0,8.0,8.0,5.0,3.0,10.0,3.0,7.0
N,4.0,6.0,5.0,4.0,4.0,7.0,6.0,6.0,5.0,6.0,5.0,8.0,3.0,7.0,3.0,9.0
T,2.0,8.0,4.0,5.0,1.0,10.0,14.71702,1.0,6.0,3.533876,11.0,9.0,0.0,8.0,0.0,8.0
Z,3.0,6.0,4.0,4.0,2.0,8.0,8.0,5.0,9.0,6.0,6.0,8.0,2.0,8.0,8.0,7.0
V,7.0,11.0,7.0,6.0,3.0,7.0,10.0,4.0,3.0,7.0,9.0,6.0,4.0,11.0,4.0,7.0
F,5.0,8.0,6.0,5.0,3.0,6.0,11.0,3.0,4.0,11.0,8.0,5.0,2.0,8.0,5.0,3.0
L,4.0,10.0,6.0,7.0,7.6202297,7.0,8.0,3.0,5.0,6.0,6.0,10.0,5.0,11.0,9.0,8.0
M,6.0,8.89936,9.0,7.0,9.0,10.0,6.0,3.0,5.0,10.0,4.0,6.0,6.0,6.0,4.0,7.0
J,4.0,8.0,5.0,6.0,3.0,8.0,8.0,1.0,6.0,13.0,5.0,6.0,0.0,7.0,1.0,8.0
Z,5.0,9.0,6.0,7.0,5.0,7.0,8.0,4.0,4.0,10.0,6.0,7.0,2.0,9.0,9.0,8.0
Z,3.0,8.0,4.0,6.0,2.0,7.0,7.0,5.0,10.0,6.0,6.0,9.0,1.0,8.0,8.0,8.0
P,4.0,7.0,5.0,5.0,4.0,6.0,12.0,6.0,2.0,11.0,5.0,3.0,1.0,10.0,3.0,8.0
D,4.0,7.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,7.0,5.0,7.0
H,6.0,8.0,8.0,6.0,5.0,10.0,5.0,4.0,6.0,10.0,2.0,7.0,3.0,8.0,3.0,9.0
A,3.0,8.0,5.0,7.0,3.0,6.0,6.0,3.0,1.0,7.0,0.0,8.0,2.0,7.0,2.0,8.0
L,3.0,10.0,3.0,8.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0
S,4.0,8.0,5.0,5.0,3.0,9.0,8.0,3.0,7.0,9.0,6.0,7.0,2.0,9.0,5.0,10.0
K,3.0,7.0,4.0,4.0,2.0,5.0,6.0,6.0,5.0,3.0,5.0,8.0,3.0,8.0,3.0,10.0
M,3.0,5.0,4.0,4.0,3.0,8.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,3.0,5.0
U,3.0,6.0,4.0,4.0,3.0,9.0,6.0,6.0,5.0,7.0,6.0,8.0,5.0,9.0,3.0,7.0
F,3.0,6.0,5.0,4.0,2.0,6.0,10.0,2.0,6.0,11.0,9.0,8.0,1.0,10.0,2.0,8.0
F,2.0,4.0,3.0,3.0,1.0,6.0,11.0,2.0,6.0,13.0,7.0,5.0,1.0,9.0,1.0,7.0
A,4.0,8.0,6.0,6.0,7.0,8.0,8.0,3.0,5.0,7.0,6.0,6.0,5.1546288,7.0,6.0,5.0
U,4.0,7.0,4.0,4.0,4.0,8.0,7.0,7.0,4.0,7.0,6.0,8.0,3.0,9.0,5.0,6.0
X,3.0,9.0,6.0,7.0,4.0,7.0,8.0,3.0,7.0,6.0,6.0,8.0,3.0,8.0,6.0,8.0
A,5.0,11.0,7.0,8.0,5.0,7.0,7.0,0.0,6.0,11.0,6.0,9.0,2.0,9.0,2.0,8.0
I,3.0,11.0,4.0,8.0,3.0,8.0,7.0,0.0,7.0,11.0,6.0,8.0,0.0,8.0,1.0,8.0
L,2.0,3.0,3.0,3.0,1.0,7.0,4.0,1.0,7.0,7.0,2.0,9.0,0.0,7.0,2.0,8.0
H,2.0,6.0,4.0,4.0,3.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0
T,2.0,3.0,3.0,1.0,1.0,6.0,10.0,2.0,6.0,9.0,10.0,9.0,1.0,9.0,1.0,7.0
I,4.0,11.0,5.0,8.0,3.0,7.0,8.0,0.0,8.0,13.0,6.0,8.0,0.0,8.0,1.0,7.0
D,3.0,3.0,4.0,2.0,2.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,2.0,8.0,3.0,7.0
E,0.0,0.0,0.0,1.0,0.0,5.0,7.0,5.0,7.0,7.0,6.0,12.0,0.0,8.0,6.0,10.0
Y,3.0,6.0,5.0,4.0,2.0,9.0,10.806847,1.0,6.0,4.0,11.0,9.0,1.0,11.0,1.0,9.0
V,3.0,7.0,5.0,5.0,2.0,7.0,8.0,4.0,2.0,7.0,14.0,8.0,3.0,10.0,0.0,8.0
