fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
17.2055,6.5733,2.5821,0.68,0.4244,-6.6337,3.2589,6.9831,24.1768,155.058,h
20.6577,10.9774,2.7473,0.4645,0.2225,-6.4085,-0.6485,2.9413,14.3755,73.6524,h
37.7774,12.5522,2.5519,0.5055,0.301,-19.6669,11.1704,-11.7558,50.56,248.942,h
48.5785,15.9518,2.8582,0.3119,0.1641,37.2066,21.8546,-4.1394,16.785,250.1142,g
131.3678,39.1662,3.5176,0.1306,0.0715,109.8318,87.5341,4.3711,33.3415,192.7573,g
21.3703,9.7075,2.5535,0.6127,0.3152,1.9802,1.6959,0.2222,75.2642,65.7313,h
20.9695,17.6384,2.4759,0.396,0.2307,32.9072,-15.8665,-15.0168,67.8942,123.5824,g
24.7693,14.0156,2.5819,0.5734,0.3294,23.4208,-13.1458,-7.4222,75.0671,117.4709,h
80.9796,15.6071,3.1276,0.1453,0.0861,43.4528,61.2518,-8.3982,47.7291,191.0319,h
93.3196,41.6654,3.4347,0.2725,0.1249,12.0452,94.6716,23.4013,17.8921,322.3913,g
106.841,21.5734,2.6043,0.342,0.1758,37.1828,-66.203,7.3703,83.343,192.6706,h
88.6964,31.2235,3.7102,0.1862,0.1096,55.7699,52.8898,-11.9079,3.3771,216.5302,g
20.7984,10.1435,2.2574,0.623,0.3662,-6.8429,6.8913,-1.9026,40.98,194.2143,g
28.1565,10.4005,2.4299,0.5006,0.2595,-8.1686,25.0178,-4.1001,23.5012,149.2413,g
30.1382,10.52,2.64,0.429,0.2354,-29.0278,33.4454,-1.521,69.6617,136.9163,h
84.5258,61.5571,3.4202,0.2667,0.1423,-229.8872,-126.58,58.0443,14.571,378.3454,h
39.0329,26.8808,2.6349,0.3597,0.1853,-3.5139,5.9892,-13.3067,26.5267,130.0128,g
87.2917,21.9851,2.9027,0.2799,0.1365,19.6663,51.2398,-0.0242,1.9894,280.4271,g
22.6918,13.3627,2.4568,0.5278,0.2999,0.1523,-17.7551,-3.3072,24.6252,104.7793,g
27.5184,12.1857,2.3103,0.4424,0.2342,8.1354,19.423,5.1718,7.7607,172.1552,g
28.4954,18.5757,2.7588,0.375,0.1594,1.5828,2.3753,-3.8762,34.6233,222.961,h
18.16,9.9905,2.417,0.6228,0.3562,-21.7729,-9.0351,6.5705,33.2672,152.9441,h
79.6098,44.9336,3.0897,0.2727,0.1905,-14.1628,-55.1423,12.6535,37.3005,365.3785,h
41.7232,12.6487,2.8642,0.3169,0.2045,1.4888,0.0987,7.5322,42.7595,206.1161,g
48.1022,18.802,3.0639,0.2455,0.1335,-1.5046,33.75,5.8406,9.3915,83.1283,g
103.0103,40.4426,3.3925,0.1091,0.0556,-143.4316,76.944,14.8899,3.4167,234.3291,g
33.0922,20.1149,2.9504,0.2923,0.1642,-33.932,-42.521,-15.967,15.8997,201.5598,g
29.7902,12.3769,2.508,0.481,0.2385,-5.7289,19.6497,-6.1655,45.4291,87.2846,g
30.2582,17.9044,2.8443,0.3939,0.1935,14.3249,6.7586,-9.6676,48.2111,44.5341,g
116.035,32.7852,3.3636,0.2394,0.1792,-64.9551,52.087,19.0546,13.8515,331.8392,h
18.9728,10.631,2.2573,0.659,0.3584,5.8402,-0.358,3.9407,54.5668,161.4279,g
81.0578,51.3137,3.3171,0.2385,0.1285,18.9636,51.2215,-23.4056,1.6425,362.7427,g
28.2301,8.6979,2.3411,0.6071,0.3478,8.1172,16.3466,-5.3378,51.1836,191.0648,g
35.7634,15.4981,2.5997,0.4397,0.2436,-21.9362,-34.4201,-17.713,69.0599,148.6467,h
17.8365,11.2038,2.35,0.5839,0.3937,11.4906,8.5378,-5.6288,7.825,140.8161,g
97.3114,21.3487,2.9103,0.4277,0.2207,-54.0102,-89.632,-13.9199,62.6325,108.545,h
22.1672,17.4102,2.5683,0.378,0.2468,-14.2071,-0.9572,-12.7149,17.4572,171.5666,g
21.0469,11.5004,2.441,0.5555,0.3259,21.456,12.7577,10.1011,29.0226,145.9312,g
47.0157,20.1749,3.1121,0.2556,0.142,19.4018,-11.0481,6.7077,6.5509,159.1545,g
41.5259,4.6082,3.1325,0.5996,0.3312,58.6775,35.5695,1.9726,41.8108,156.9073,h
29.5231,17.6535,2.7073,0.3547,0.1734,12.0262,-9.9357,-14.7459,15.8835,149.5504,g
19.4119,11.6345,2.2467,0.5723,0.2857,-4.9012,-13.8077,-2.8128,78.8534,83.2099,g
150.757,115.8984,4.2942,0.0789,0.0458,40.2073,-149.9654,-111.8029,2.9014,133.8467,h
17.7169,16.4109,2.3559,0.5452,0.2984,-0.4087,-7.3675,-18.0207,49.3919,92.1497,g
119.6223,55.0876,2.755,0.1951,0.2268,-111.6351,-83.5017,57.5205,62.9654,59.7673,h
58.1376,22.6729,3.4024,0.1781,0.0794,-2.5784,44.6901,-6.6373,5.211,162.2622,g
30.9448,14.159,2.3852,0.5331,0.2548,-27.7772,-11.04,-2.4145,82.47,223.9838,h
18.2259,0.4243,2.3534,0.8751,0.4613,-2.8893,-9.6554,6.3651,21.3234,144.7242,h
33.5425,9.5269,2.4708,0.4445,0.2372,-13.0826,-19.3028,0.8247,0.7706,198.844,g
15.7892,10.1789,2.2311,0.7842,0.4912,-9.0994,-6.8066,3.5851,53.8714,147.9263,g
96.8001,41.5812,3.5786,0.1679,0.0806,-59.5354,60.6263,-27.317,1.8529,326.1405,g
21.3048,11.365,2.5194,0.4515,0.2781,0.735,-16.9321,0.3628,29.5734,118.3628,h
91.9471,29.9939,3.1196,0.1398,0.0891,-172.622,1.8693,29.3715,21.8744,185.1375,h
82.3609,54.6913,4.0904,0.126,0.0562,96.9224,32.3787,9.2898,21.1523,185.4551,g
17.8486,10.7482,2.1796,0.5761,0.3191,-6.8695,-8.2205,-8.5552,18.9788,149.2334,g
50.2289,18.06,2.8874,0.3205,0.236,28.9417,35.6648,-0.4175,80.1484,237.6396,h
114.3371,15.547,2.8547,0.238,0.1739,-95.9585,-14.0024,-9.5585,40.799,246.8307,h
25.8931,12.4928,2.7796,0.3662,0.2381,8.8004,4.1848,-2.8615,59.217,192.2125,h
63.4164,12.2347,2.5424,0.407,0.2105,2.0198,2.5924,-4.2802,58.6548,63.0056,h
80.6715,44.1283,3.6932,0.1738,0.109,-43.0038,57.5536,-22.9036,9.4259,306.9573,g
13.0033,11.4786,2.0882,0.7803,0.5142,-14.7608,0.9948,-19.3489,36.3109,146.3854,g
64.5913,18.8527,2.8758,0.2713,0.2245,85.6588,-36.6249,1.7134,8.09,259.2718,g
42.5447,13.5502,2.64,0.4355,0.2563,54.0903,26.7366,-4.8712,45.0665,208.354,h
85.8384,15.162,2.6533,0.3521,0.2809,-109.3504,57.5308,6.2763,2.9773,229.2266,g
101.3959,28.0362,3.3546,0.2279,0.1407,-132.0649,-102.945,-17.0703,41.6186,333.617,h
57.8522,27.501,2.8904,0.1995,0.0812,72.124,57.1249,-18.2549,7.6111,139.5009,g
25.3729,10.9831,2.2419,0.678,0.3241,27.9341,4.5766,-3.5534,14.3714,159.383,g
49.9238,27.3845,3.3628,0.2194,0.117,19.4589,36.1004,6.1405,5.5911,103.2687,g
22.1787,14.3065,2.4364,0.5227,0.2715,18.8269,16.5838,0.8109,6.5132,182.7223,g
23.7181,13.6755,2.4865,0.6327,0.3302,21.0007,16.0038,11.3445,31.3335,158.3572,h
18.9653,10.6756,2.5298,0.6309,0.3324,2.1255,4.9532,2.9129,29.6092,192.2124,g
13.174,10.7197,2.1493,0.7822,0.4398,0.277,-3.3397,11.476,25.5803,138.2009,g
24.2322,6.2284,2.4174,0.5274,0.3627,7.2998,-7.7424,-10.7245,72.4069,104.6667,h
34.8808,16.1942,2.5994,0.4399,0.217,13.5239,-12.3145,-0.459,43.8819,187.1626,h
80.6652,16.321,2.8362,0.2462,0.1025,-1.2423,46.0945,3.5138,22.8936,204.8275,h
78.0272,34.204,3.1484,0.1563,0.0763,34.5726,-27.4239,-24.8162,26.6333,137.3469,h
30.3746,18.2148,2.5659,0.4402,0.256,-9.7336,19.3393,1.3801,46.0516,135.6427,g
46.5784,16.4671,2.8522,0.2298,0.1172,16.0582,-46.0641,9.1916,38.4781,137.7072,g
17.3527,11.8469,2.3791,0.6179,0.292,-6.9589,7.2834,-16.5841,37.0265,215.176,h
25.8167,15.1412,2.2403,0.5566,0.3534,-14.4317,-18.0772,4.2174,84.0347,189.5479,h
37.5491,20.4775,2.9535,0.1539,0.1821,-6.5542,-44.1947,-10.9773,8.3672,164.5794,g
21.5065,18.876,2.6057,0.5396,0.2675,-10.2398,-1.3589,0.8042,70.5314,143.2689,h
233.9392,57.9038,3.5121,0.1218,0.0695,-277.5898,-174.4092,-65.186,53.8548,204.2906,h
32.8317,10.4354,2.3194,0.4715,0.2742,7.1631,-1.5994,5.9315,15.7003,188.7742,g
17.2394,12.3744,2.5202,0.5224,0.3131,19.2868,10.7657,4.5869,5.7151,200.8069,g
73.4939,44.8373,4.169,0.0853,0.0454,62.1002,56.2237,1.7855,7.691,201.6622,g
31.8036,12.1254,2.3603,0.6788,0.3535,15.5762,-27.801,-3.7361,48.0253,27.3812,h
