fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
23.7756,15.9276,2.8203,0.4181,0.1452,-53.7928,-91.9287,-14.7065,69.2699,253.7505,h
15.6166,0.0,2.1288,0.5468,0.4542,-2.7152,-14.6791,-7.6891,42.3802,122.0461,g
130.2762,21.3191,3.5434,0.1909,0.1267,75.5169,-35.0053,-9.2663,4.8806,399.329,g
83.2358,32.1226,3.2346,0.2391,0.1315,53.3446,55.2297,5.0913,2.2661,286.7246,g
67.7317,10.3325,2.5065,0.2238,0.1657,-45.7036,-17.5449,-8.9693,69.0994,245.7465,h
69.8881,27.2342,3.4943,0.172,0.0761,53.0562,42.811,-10.3224,29.6821,315.7211,g
189.8784,49.6129,4.1264,0.0915,0.0276,-76.1545,-166.567,-11.1171,16.8034,126.4843,h
65.338,28.2912,2.8628,0.3713,0.1576,1.5785,22.4646,-11.4545,28.6388,270.4596,h
266.8428,19.6545,3.6491,0.1484,0.0515,131.1253,67.553,-10.7848,86.6182,293.9217,h
20.6297,18.5623,2.5341,0.468,0.2517,59.7333,53.6623,-11.1496,65.6586,81.238,h
46.195,47.2203,2.9824,0.2333,0.1718,10.0908,45.5112,-12.8586,28.1755,165.6786,h
80.9603,20.1546,3.3817,0.1892,0.0792,174.4785,97.5013,-10.887,4.4596,288.903,h
25.6599,17.2759,2.2947,0.4868,0.4133,-7.0442,-15.0508,-8.1801,17.5882,159.4705,g
222.3757,74.1183,3.7571,0.0355,0.0133,-230.1521,-162.1377,-26.2776,41.4555,285.722,h
236.5183,46.12,3.411,0.1993,0.0407,-136.906,-103.9608,-20.0851,82.7699,148.9458,h
10.4839,12.1281,2.0233,0.5873,0.5755,-1.6272,-46.1198,16.9991,68.9409,118.7536,g
42.1097,31.5017,2.925,0.3008,0.1269,-50.3319,53.6494,-7.7238,15.0223,344.656,g
19.9032,13.2595,2.5107,0.5313,0.2932,44.6217,20.8376,-9.8235,12.2403,244.5341,g
158.8284,47.8732,4.0252,0.1541,0.044,106.3296,-275.4283,33.4194,79.0904,380.0666,h
87.69,36.0398,3.7137,0.182,0.091,33.2832,-155.0892,-24.2957,66.9033,255.426,h
23.1822,11.8642,2.714,0.2319,0.1739,88.1385,19.928,-8.9618,49.3313,178.8965,g
60.8472,43.7267,2.9651,0.3015,0.1718,-8.3644,69.7024,-18.5248,12.0542,131.5529,g
39.2881,13.5889,2.911,0.3166,0.2229,36.366,33.8544,-9.8159,18.7404,173.4441,g
41.8798,15.6441,2.8366,0.3725,0.1878,70.4034,54.5001,15.0727,24.8713,187.6026,g
29.2129,12.5369,2.1936,0.4977,0.3435,38.0869,-9.0431,2.3323,6.1444,155.5606,g
100.3308,30.3588,2.6152,0.1994,0.1464,74.6142,44.3368,-43.8448,63.9197,203.399,h
18.7358,14.868,2.7151,0.4311,0.1683,-8.432,22.1534,17.9242,39.3179,287.1446,h
109.2768,29.991,4.0438,0.0924,0.0623,-48.0385,-78.2266,34.4152,77.5418,89.6968,h
51.2862,27.4197,3.5205,0.175,0.085,29.5512,30.7088,-18.0344,17.9201,387.5167,g
57.9786,29.8503,2.8408,0.2426,0.2311,96.2674,16.653,10.2925,19.4452,318.2756,g
150.4027,18.5481,3.7943,0.1105,0.0848,-137.5765,-72.1495,36.8464,18.7191,159.7857,h
186.9461,35.4389,4.0731,0.0614,0.0378,-110.007,-202.2021,39.6826,39.6268,420.1636,h
31.6444,13.9741,2.9635,0.305,0.3114,51.4688,-15.5854,-4.8234,7.4382,124.5698,g
16.6733,12.1526,2.4828,0.7697,0.4062,1.0028,-43.2005,-2.9868,44.345,170.9602,g
35.7453,21.708,3.0858,0.2999,0.2801,-93.0729,-14.6805,-11.7715,18.9101,193.5553,h
135.9943,51.2251,3.9561,0.1936,0.1124,-40.4765,-194.9463,45.8733,37.4459,76.8338,h
69.565,31.8014,3.1741,0.1632,0.048,134.2546,61.6689,-13.6356,33.5151,299.0132,g
23.1237,13.0082,2.7279,0.5761,0.3197,43.9314,14.9024,8.1934,5.6795,146.2612,g
34.9704,8.1177,2.4404,0.5956,0.3923,3.5079,-20.9273,-8.7112,3.9058,150.6666,g
44.4189,60.6217,3.2024,0.1535,0.1804,2.2079,25.1835,-9.5395,58.8048,219.4585,g
18.7087,8.7443,2.2355,0.7237,0.6074,-3.4975,-19.7147,9.4783,66.3478,66.0141,h
47.4971,31.5709,3.5959,0.1767,0.0681,59.7304,54.3596,-13.1241,16.4864,261.0072,g
31.5954,11.9793,2.815,0.5232,0.3117,34.2027,27.3797,-18.9096,26.9886,103.6275,g
212.9076,31.4963,4.002,0.0657,0.053,-100.568,-263.4867,-113.6771,64.4869,288.3493,h
23.2392,12.0773,3.138,0.4451,0.246,40.5753,-8.2461,7.3545,64.3576,135.7408,g
17.9624,4.8804,2.0989,0.756,0.4294,3.8964,17.6169,-5.9442,31.6458,133.9862,g
44.1612,12.7442,2.4176,0.5637,0.2983,24.1593,-19.3358,7.2577,19.6673,114.6318,g
27.9086,11.1938,2.1759,0.7534,0.3722,35.4851,-11.288,-7.6246,81.4646,162.9527,g
24.9629,15.6779,2.131,0.4936,0.3507,-14.7742,14.9976,-14.4261,61.3094,230.1183,h
43.2586,11.7927,2.6242,0.4988,0.3847,-12.5161,11.8354,11.5099,38.6095,201.2087,h
22.6609,9.2652,2.3642,0.2346,0.2173,43.9551,5.6315,-12.693,7.85,229.3609,g
211.6954,19.2015,3.1483,0.1256,0.1459,-109.9156,-162.049,7.709,78.1852,285.2489,h
21.8711,16.5022,2.6162,0.5201,0.3512,-5.226,25.5833,-3.6927,70.3256,221.804,g
92.6133,41.4276,4.0204,0.062,0.0091,116.3441,50.451,34.7847,63.3245,253.0859,g
41.7128,13.0356,2.2575,0.596,0.3621,21.1745,-23.4755,-9.362,18.3081,172.3013,g
100.059,33.5908,4.3158,0.1058,0.0518,-74.9969,-87.0779,40.9452,70.6563,156.804,h
47.3923,59.4565,3.5614,0.316,0.0445,-20.7121,63.6683,-9.218,2.5556,321.0164,g
19.9299,13.4497,2.9004,0.4433,0.2965,-9.0517,-15.3242,-5.9009,16.4037,126.181,g
43.966,13.8464,2.7056,0.6027,0.2921,37.4241,18.0973,11.3195,39.7233,105.2646,g
76.2693,31.4184,4.2933,0.0997,0.0288,162.2074,-144.0598,14.0289,14.6471,346.8306,g
23.0451,10.0486,2.3403,0.7471,0.3518,47.5526,11.9203,-4.9721,48.4823,164.5843,h
30.6165,13.5335,2.5456,0.4253,0.2912,20.7566,13.9104,7.2416,68.9146,204.4749,h
23.3428,13.384,2.4557,0.4809,0.295,34.1149,-9.1374,-7.6242,67.2225,122.7044,g
21.6922,13.9361,2.9484,0.3854,0.3335,31.5166,-13.3991,7.7996,5.7876,146.9761,h
102.3135,19.3101,2.9793,0.2768,0.2564,55.4004,60.7026,15.665,1.7518,145.5588,h
88.7494,9.5957,2.5635,0.3143,0.2747,26.8647,14.0221,-12.8534,66.5222,141.5573,h
36.9265,29.8439,2.7175,0.319,0.1693,33.3695,-12.7604,-10.0058,3.3089,162.1094,g
31.7789,27.6584,2.9554,0.2199,0.2053,62.9277,80.7783,12.2138,16.5169,307.157,g
25.1482,10.4582,2.3364,0.5737,0.3823,36.4005,-22.5304,-6.1998,81.3021,62.5433,h
21.8779,6.6955,2.8088,0.3609,0.4039,-11.4812,11.624,-4.9866,53.1342,170.3014,h
28.1218,9.5411,2.7705,0.5939,0.1846,28.0917,69.299,-8.1008,2.583,183.4443,g
253.173,33.4354,3.845,0.146,0.0155,-197.1379,22.8427,41.8172,3.855,154.2992,h
148.4838,34.3141,3.4598,0.1702,0.1023,31.4255,-184.28,-59.319,10.3122,327.5823,h
129.986,41.3835,4.0678,0.2505,0.1394,28.5871,-147.6307,7.2289,69.9867,85.7898,h
49.8775,28.4255,3.1171,0.4464,0.1643,37.4703,37.7796,-10.3356,78.9461,72.2724,h
25.5138,12.575,2.6266,0.4737,0.3435,95.6415,10.8691,-9.2138,22.5799,69.8239,g
22.9629,12.2504,2.701,0.5927,0.2232,109.9975,11.6967,-10.6199,21.9983,234.2525,g
92.5763,2.2241,2.9872,0.4754,0.1821,-171.7866,60.1764,37.2274,45.3254,284.3495,h
43.7188,34.8014,3.0333,0.3756,0.2139,85.598,37.9787,-21.9797,6.2736,321.4388,g
48.1736,20.6885,2.5746,0.4522,0.1702,61.8529,-21.6317,17.6909,18.2303,125.0047,h
32.3952,11.2719,2.7114,0.3426,0.1541,33.7337,33.9892,-15.6169,15.7996,239.1979,h
143.5327,35.4543,3.6056,0.2213,0.1132,45.0864,-44.067,-8.231,7.8179,359.5912,h
103.1541,33.2722,3.5329,0.1021,0.0567,-44.9293,91.8005,23.7132,1.9218,335.6372,g
21.2283,3.4595,2.1305,0.5675,0.4071,-19.4763,-12.9466,-11.4579,25.9898,154.7482,h
56.484,9.1612,2.7047,0.302,0.2841,25.2963,11.1376,-16.9041,70.1047,74.9479,h
21.0507,7.9519,2.3927,0.6128,0.3039,4.4914,9.9215,-6.998,32.4621,56.274,h
47.3556,9.7362,2.7819,0.5103,0.1627,42.7394,21.0819,-12.643,61.7205,271.2503,h
27.3862,13.7561,2.2802,0.7599,0.2911,37.7675,-9.6593,9.8568,52.1886,67.0107,g
26.7031,20.635,2.4187,0.6092,0.3845,44.7807,38.575,-10.3208,1.2663,140.1004,g
143.5834,35.4237,3.3434,0.5244,0.1771,69.3637,56.6465,-26.3697,15.3778,117.4872,h
26.5172,19.3279,2.4512,0.4177,0.2012,36.988,29.6891,-12.5497,20.306,208.03,g
127.9543,37.9985,3.9427,0.0719,0.0003,71.2417,56.2272,-11.2039,2.2669,410.9515,g
31.4888,10.3098,2.2465,0.7746,0.3356,34.5901,13.2524,-14.401,59.0789,50.2071,h
19.9588,12.8513,2.3123,0.5465,0.3712,13.8011,11.6191,-8.6515,64.6134,135.0926,g
56.1588,21.2054,2.8153,0.2825,0.2161,41.4312,14.9466,-6.2343,32.7506,169.8005,h
22.4206,11.5832,2.8449,0.2758,0.1445,-10.2921,-21.8332,-6.6598,20.372,170.2243,g
23.1675,7.0583,2.3694,0.4992,0.3765,21.4065,12.5791,-12.3402,8.1208,172.7591,g
22.0326,8.1281,2.2348,0.6051,0.3675,49.5538,-18.902,-5.5373,51.6313,82.2732,g
40.2331,9.3158,2.2549,0.5529,0.4303,86.2236,19.0257,9.4881,89.1177,167.6906,h
197.989,40.5199,3.7194,0.0713,0.0491,-89.5485,52.5759,52.0658,65.2376,161.3509,h
19.7257,11.3556,2.2857,0.6315,0.6014,32.379,9.8956,-10.4379,6.3009,163.5474,g
20.7605,5.9876,2.3449,0.6457,0.3767,6.1003,-19.5647,-9.4712,64.8217,66.3742,h
117.6165,34.221,3.9622,0.3431,0.0757,32.0402,14.3017,19.748,12.987,241.0924,g
83.6993,30.4683,3.6058,0.345,0.1271,93.4811,82.0571,5.0703,2.9155,380.794,g
164.4699,26.6107,3.3454,0.1146,0.0696,-52.2159,-118.5212,47.9305,20.5672,130.0491,h
184.8116,36.4376,4.1693,0.0822,0.008,217.6374,94.6144,-23.9541,53.262,276.6982,h
