fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
85.1303,28.1853,3.2743,0.1985,0.1098,-37.1094,38.6561,-23.745,2.8917,266.176,g
54.6351,15.3596,2.5282,0.5788,0.3097,13.6793,22.6241,10.3672,18.549,205.385,h
76.3553,30.7444,3.2375,0.273,0.1341,-22.5873,60.1965,22.4066,6.9155,331.8838,g
47.2999,27.8626,2.9869,0.2286,0.124,10.6715,50.1222,-10.5689,34.1346,223.6064,h
88.9182,36.5028,3.5994,0.2198,0.0723,80.2724,58.478,19.4576,2.2251,278.2107,g
193.6444,57.8952,3.2473,0.1952,0.1467,-57.7763,-102.6902,-32.8995,79.316,98.3957,h
35.2396,13.4996,2.5296,0.4849,0.2723,6.3001,23.1444,-4.6554,1.341,186.2601,g
44.9927,12.434,2.62,0.4008,0.2503,23.8761,25.9325,3.6704,30.7095,233.0357,h
29.1433,12.3445,2.4217,0.5057,0.2949,6.2265,10.3572,-5.676,64.0388,125.8769,g
120.6905,37.2774,3.5058,0.2648,0.1198,57.607,76.2352,-24.0078,6.158,313.0979,h
22.1898,16.3463,2.5226,0.5037,0.2969,27.1584,22.8356,8.3353,59.2283,98.687,g
46.2862,16.0533,2.5092,0.4077,0.221,33.1014,42.7721,7.0001,4.1436,177.8267,g
23.1242,11.9214,2.7747,0.6354,0.3597,4.7791,-14.0465,-6.2038,61.5921,31.0601,g
124.9071,31.468,3.1028,0.2369,0.1558,-51.7263,-107.7094,21.218,70.2232,266.8414,h
94.3159,22.4624,2.9146,0.3032,0.2013,-29.8649,-32.7496,-23.609,2.7714,352.4766,g
24.9436,13.774,2.392,0.6612,0.3758,-8.5272,8.3634,7.2239,67.4272,168.5791,g
39.8422,14.2895,2.7147,0.44,0.249,23.2225,33.8711,-16.2314,67.7525,230.997,h
21.9484,11.572,2.315,0.5419,0.3157,-6.5159,-13.6067,5.7228,84.0732,100.4552,g
102.7301,31.7861,2.9609,0.2444,0.1299,84.5736,61.8753,21.3125,84.8566,266.6951,h
94.2501,54.3301,3.8053,0.156,0.1037,-38.7469,52.1397,41.1695,4.0018,310.4875,g
38.3016,11.9661,2.5255,0.4443,0.2756,33.6568,18.8663,-6.9807,8.8412,178.805,g
10.7699,10.5789,2.2783,0.5821,0.3676,12.5314,-13.0266,0.8537,57.1392,151.9653,g
86.5405,37.3842,3.2478,0.1846,0.098,-50.4071,-50.862,-19.5114,60.0853,229.9862,h
109.6326,23.6683,2.8136,0.3229,0.184,-62.1491,-83.6163,21.3671,58.0582,287.0865,h
