fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
86.72528,10.645006,2.5322766,0.4524585,0.2716179,72.31492,71.37736,5.942362,7.412559,213.76497,g
17.193272,11.06284,2.3270726,0.5909395,0.32933143,21.598978,12.948307,4.9534755,12.966341,217.12973,g
33.29499,9.828572,2.3927033,0.55075806,0.30929187,-9.421963,-15.740703,7.1594577,8.36977,87.05049,h
73.8624,40.56974,3.2846613,0.15543362,0.08073192,-103.949814,54.65763,33.38566,7.635004,264.10397,g
68.66882,17.500092,2.9973595,0.22484806,0.12057316,13.287472,69.08212,-15.173947,4.324491,209.01395,g
13.37185,14.322895,2.3497066,0.49287105,0.2509744,-14.016913,7.99568,0.083704665,65.94158,112.98912,g
23.300186,9.147408,2.699767,0.56137204,0.33237162,32.151257,30.337662,4.61991,10.705264,199.30888,h
46.4922,17.367908,2.7096972,0.30673888,0.15493539,-14.510893,14.650453,12.474934,6.450395,142.74638,g
154.2688,43.38204,3.8120074,0.12715037,0.056331262,-84.79495,-132.35487,30.187477,17.974512,245.91042,h
42.35208,16.00817,2.5349224,0.5653136,0.37101123,48.491753,-22.403831,11.924391,34.21909,141.74226,h
20.775454,6.8278236,2.0923114,0.75398403,0.39617172,-5.6546803,5.7521234,4.3012557,11.036077,129.09758,g
81.653404,31.475864,3.6941195,0.17714106,0.092554666,51.052483,75.47726,-15.860142,0.2746776,305.3229,g
45.24782,17.282854,2.892249,0.27702045,0.13687778,-84.86882,-18.175982,12.797378,5.9406533,251.98302,g
23.766567,7.326403,2.1926847,0.6005118,0.343526,-25.80523,9.873612,-6.509196,23.320671,158.76155,g
91.97063,34.71915,3.9818797,0.08801709,0.048628177,100.48707,80.26792,16.555258,3.3665023,267.83987,g
232.44806,87.03859,3.4696274,0.12377346,0.055311576,-275.44232,-66.56333,-95.321434,41.81462,102.65892,h
40.52302,18.563509,2.6788917,0.3040986,0.16194823,16.863182,32.87812,16.654284,81.55471,54.070312,g
18.776003,7.1814227,2.2525914,0.80374914,0.48206773,-21.837528,-7.458534,-1.8149728,11.193821,229.89214,h
21.450123,6.5505404,2.0631576,0.73192334,0.41252074,24.266485,8.269126,4.2723985,26.389326,14.383271,g
24.020084,16.830616,2.4878702,0.41833732,0.2230733,-22.645504,13.459838,14.406686,49.673656,109.79461,g
53.672302,22.168722,2.8908913,0.32909513,0.22449857,-70.42084,27.598707,16.554722,2.115904,276.55383,g
102.46566,27.35135,2.9775023,0.26147965,0.15427397,-97.90604,74.38494,-16.04973,5.908054,310.52408,h
29.512098,22.294125,2.9904363,0.3171138,0.17659383,17.010406,24.94095,-14.697553,21.542137,105.087616,g
51.91175,17.957188,3.001105,0.28374314,0.1401421,60.098087,45.52393,12.365772,11.729865,178.12715,g
214.5041,71.69487,3.249498,0.19140373,0.10566257,-89.94367,-171.96281,-49.24362,51.640465,271.4557,h
94.83006,22.857527,3.050603,0.23803502,0.15804313,-120.4254,74.992836,2.960959,8.9025755,259.13998,h
17.660683,9.559366,2.1992815,0.77430373,0.4258119,1.4940224,10.005616,-2.2021368,21.010052,216.52872,g
18.069738,9.051891,2.2100601,0.76289773,0.43687984,-3.256095,-8.168699,-4.2911124,39.9152,85.65832,g
92.03599,33.758717,3.7327204,0.121001974,0.06772836,74.26329,88.350235,10.902449,4.0332885,196.71756,g
19.662544,10.745076,2.5190973,0.70582664,0.45521042,11.421547,-9.1392975,8.392992,14.238803,79.4703,h
13.13821,11.062916,2.152086,0.6979288,0.37361076,-0.13802324,-5.8419375,5.41853,17.205238,180.32385,g
82.327385,26.66809,3.7048032,0.17475438,0.089229785,73.54161,90.95934,-15.259224,1.3181237,161.97757,g
87.53791,29.396385,3.183402,0.19819415,0.10210387,88.00045,78.307144,30.609798,0.5381079,205.78151,g
65.75792,18.912315,3.3531642,0.21038969,0.11028155,14.927967,60.179676,10.326404,0.17358774,250.69997,g
38.001152,19.352602,2.985431,0.25493822,0.14245202,51.946606,23.886486,-15.255085,15.040207,146.30669,g
13.178328,11.408544,2.254168,0.7214951,0.35044017,5.0336223,-4.1626806,-11.735625,38.11474,174.13815,g
12.550464,9.721815,2.136076,0.74384034,0.40187064,-20.082642,3.3836544,-6.6057644,86.54481,193.25444,h
136.24908,36.21655,3.4669425,0.15800199,0.09818142,-159.12645,70.037,-26.460815,18.219376,267.46423,h
154.38065,75.44606,3.0446723,0.27287045,0.17699067,-226.67947,93.50889,81.71483,51.780552,266.48047,h
34.980255,13.411192,2.7760575,0.38846308,0.22534174,-15.5590315,16.857153,9.944705,0.81962126,193.2189,g
48.117584,28.875198,3.2440345,0.16585915,0.09352916,-26.795824,-48.14863,19.07955,14.59611,234.29404,g
24.573545,16.118357,2.6383994,0.46157974,0.26403213,31.064404,14.662253,-7.4150243,5.933688,207.94177,g
50.81215,20.387854,2.7427983,0.31909072,0.15377633,30.472115,54.802704,-13.876614,56.23731,263.34088,h
200.72359,30.132353,2.706093,0.48941076,0.25639358,-84.56605,-234.3896,15.4235525,9.901641,339.6749,h
25.011255,11.747652,2.1333966,0.6830296,0.38090536,28.918995,13.440194,4.4114738,48.078793,103.925064,g
23.836784,14.606617,2.405596,0.56753236,0.33080927,1.0087026,17.155827,-3.8255725,6.0025396,186.17856,g
51.138496,21.272263,2.7360075,0.33330733,0.21687973,-2.7724855,-23.345789,-16.634428,33.996002,187.70119,h
