fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
19.1704,16.7061,2.4969,0.3908,0.2099,-0.8085,7.7218,8.7832,4.268,155.316,h
150.4164,86.5713,4.2206,0.0814,0.0253,-122.073,-32.9923,-48.2237,27.3201,159.4975,h
21.0971,10.0481,2.2201,0.5828,0.3006,23.4979,17.7733,-4.242,20.0419,246.0085,g
30.6824,15.2889,2.6064,0.3354,0.2,38.9004,12.0103,-7.8003,4.914,127.5573,g
106.75,29.9607,3.0755,0.2023,0.1056,-81.122,51.2574,-15.5864,38.7149,199.7725,h
66.7492,22.9442,2.9914,0.2439,0.1218,51.7194,45.4621,3.7522,6.886,259.624,g
25.9774,6.0889,2.5586,0.6262,0.3634,-1.6516,9.9238,-13.8144,40.0241,202.3074,h
13.1518,10.0064,2.2844,0.8031,0.5287,11.1843,6.4004,11.2857,58.845,125.609,g
27.0691,7.2547,2.3222,0.5634,0.2921,-4.48,-16.8933,10.9139,58.5795,212.84,g
175.304,33.295,2.8939,0.2616,0.1932,-149.9392,-178.5816,-9.5707,46.2451,162.059,h
19.2323,9.98,2.1987,0.5844,0.2962,14.3551,-9.4999,11.4633,65.002,179.562,g
39.6409,26.2355,2.9667,0.233,0.1272,22.7578,28.5647,-5.9295,23.065,164.936,h
32.5462,12.7421,2.527,0.4347,0.2485,24.4648,20.4912,-9.8231,10.337,197.297,h
23.7253,17.6794,2.8299,0.3358,0.1756,-36.7506,17.1221,-11.3139,25.4166,196.342,g
62.6388,21.8317,2.7063,0.3166,0.1676,49.5765,51.5405,-13.22,8.129,212.809,g
31.7077,28.4885,2.7701,0.2213,0.1177,12.5759,-23.6698,11.9013,7.8958,120.834,g
77.7269,39.8947,3.6764,0.2001,0.1063,-19.3556,43.8629,14.2597,0.8126,351.427,g
19.6892,9.72,2.2742,0.6649,0.4791,0.6315,6.3464,-8.4173,41.8017,196.793,g
32.6392,12.6984,2.5999,0.3423,0.179,12.243,28.1683,5.69,71.4495,134.164,h
51.8366,42.5181,3.2843,0.1721,0.0874,-4.6645,24.0617,-32.4454,24.6642,131.255,h
28.4384,12.66,2.5916,0.3713,0.2031,35.1149,23.2323,10.5888,1.544,226.558,g
26.591,12.0168,2.4969,0.4531,0.2732,14.5513,24.4667,-13.017,5.219,150.846,g
16.9165,11.356,2.3444,0.5785,0.3296,0,-1.3205,10.8856,18.039,103.266,g
235.367,95.1143,3.6091,0.0956,0.0481,-229.1012,-119.837,-78.2844,89.8206,145.938,h
28.5623,14.2323,2.3997,0.4116,0.2199,-7.6744,-17.5545,-6.3837,22.765,236.929,g
40.2341,14.2514,2.8136,0.2773,0.1714,38.5476,25.3511,10.6684,13.3971,260.044,h
24.2757,14.4915,2.8487,0.4496,0.1899,38.5933,-15.6775,-10.464,15.335,190.183,h
71.2165,14.1321,3.118,0.2599,0.1408,27.6299,68.707,-14.1305,3.118,219.098,g
20.9103,14.775,2.5065,0.47,0.2898,-0.2453,-10.9451,-12.5396,6.8428,161.347,h
