rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
3966,real,parents,0.0459840823369228,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
3983,real,parents,0.0766981118755117,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4062,real,parents,0.0701459158970218,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4073,real,parents,0.0749802876427481,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4076,real,parents,0.0526320776742568,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4079,real,parents,0.0515684044353554,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4093,real,parents,0.0670145777777913,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4094,real,parents,0.0809262466645401,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4097,real,parents,0.0645722177622271,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4099,real,parents,0.0746484455263972,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4101,real,parents,0.0638289466785063,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4102,real,parents,0.0948872003615444,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4109,real,parents,0.0769641520587992,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4111,real,parents,0.0532817657668,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4159,real,parents,0.0824774910049789,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4168,real,parents,0.0964397034206626,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4226,real,parents,0.0640367356098196,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4238,real,parents,0.0742528996846376,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4349,real,parents,0.0519177372013766,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4354,real,parents,0.055169673823611,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4360,real,parents,0.0441847127306626,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4361,real,parents,0.0794617582740569,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4363,real,parents,0.0649144463006331,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4365,real,parents,0.0891763478169052,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4415,real,parents,0.0567264697861649,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4434,real,parents,0.0931706931425783,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4473,real,parents,0.0379204612839306,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4971,real,parents,0.0563198308908818,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4972,real,parents,0.0720302765252864,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4973,real,parents,0.0636893558692687,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4983,real,parents,0.0695678703766187,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4988,real,parents,0.0620698352595193,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4994,real,parents,0.0885345344947305,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4996,real,parents,0.0747223303254334,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
4997,real,parents,0.0789383970459958,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5005,real,parents,0.0882498480126845,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5043,real,parents,0.0730125349580734,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5082,real,parents,0.0540234934311936,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5083,real,parents,0.0497980780822554,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5091,real,parents,0.0606845760368272,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5100,real,parents,0.0716726401293859,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5101,real,parents,0.0563589599003563,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5102,real,parents,0.0613180995293962,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5103,real,parents,0.0598219317660606,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5104,real,parents,0.05896007332363,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5114,real,parents,0.0648263687118822,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5115,real,parents,0.0760336253125692,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5118,real,parents,0.0625072480562338,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5121,real,parents,0.0901950285056247,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5123,real,parents,0.079027188176202,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5124,real,parents,0.10337838673104,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5133,real,parents,0.0900794913798645,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5134,real,parents,0.0916599869971938,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5136,real,parents,0.0868120793113543,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5143,real,parents,0.0687372756075995,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5161,real,parents,0.0757377789738849,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5165,real,parents,0.067837175957387,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
