rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
74,syn,age,0.00885040500613764,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
77,syn,age,-0.220616208515079,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
112,syn,age,-0.0154145129139727,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
361,syn,age,-0.0505913182096256,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
506,syn,age,-0.176641054440469,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
636,syn,age,-0.0127092354217644,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
838,syn,age,-0.0247002715967371,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1051,syn,age,-0.00993076725245002,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1149,syn,age,0.00342236622629975,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1347,syn,age,-0.0112230251137814,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1353,syn,age,-0.174356012975816,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1378,syn,age,-0.0940644846464322,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1467,syn,age,-0.014081879517238,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
1534,syn,age,-0.0249984520641738,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
2010,syn,age,-0.126581499223213,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
2051,syn,age,0.0113764319354386,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
2169,syn,age,-0.00683428546010978,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
2302,syn,age,-0.316337061364303,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3074,syn,age,-0.299870437833826,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3075,syn,age,-0.0245317472957697,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3126,syn,age,0.00968088012218359,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3146,syn,age,-0.223578957124951,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3190,syn,age,-0.302031220581616,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3193,syn,age,-0.00917894737321512,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
3371,syn,age,-0.194088444879512,ctree,adult_complete,TabSyn,2,xgboost,2025-02-25 10:52:30
