rowid_test,counterfactual_rank,pred,measure_validation,measure_L0,measure_gower,type,dataset_name,syn_name,run_model,model_name,timestamp
1342,1,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,2,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,3,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,4,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,5,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,6,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,7,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,8,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,9,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,10,0.520954191684723,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,11,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,12,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,13,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,14,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,15,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,16,0.520954191684723,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,17,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,18,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,19,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
1342,20,0.556804478168488,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-03-06 09:45:59
