rowid_test,counterfactual_rank,pred,measure_validation,measure_L0,measure_gower,type,dataset_name,syn_name,run_model,model_name,timestamp
1342,1,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,2,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,3,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,4,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,5,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,6,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,7,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,8,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,9,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,10,0.520954191684723,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,11,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,12,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,13,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,14,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,15,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,16,0.520954191684723,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,17,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,18,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,19,0.545056223869324,1,2,7,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,20,0.556804478168488,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,21,0.648059785366058,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,22,0.552968561649323,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,23,0.526006996631622,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,24,0.588353335857391,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,25,0.550466060638428,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,26,0.588353335857391,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,27,0.56531947851181,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,28,0.639651954174042,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,29,0.623536109924316,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,30,0.512947678565979,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,31,0.509158313274384,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,32,0.55418461561203,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,33,0.580932974815369,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,34,0.509158313274384,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,35,0.599002122879028,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,36,0.571420609951019,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,37,0.576661229133606,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,38,0.618754506111145,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,39,0.521463632583618,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
1342,40,0.509158313274384,1,3,6,syn,nursery,CTGAN,8,xgboost,2025-02-28 09:19:45
