rowid_test,counterfactual_rank,pred,measure_validation,measure_L0,measure_gower,type,dataset_name,syn_name,run_model,model_name,timestamp
14481,1,0.460384994745255,1,4,7.60185091009412,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
14790,1,0.409873574972153,1,2,7.00030929398293,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
14951,1,0.476121306419373,1,3,7.05825176319133,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
14982,1,0.441488683223724,1,3,7.3432273437743,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15084,1,0.313309818506241,1,2,7.02277696973022,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15115,1,0.262671679258347,1,3,8.15134183896657,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15342,1,0.396810919046402,1,3,8.58116312181375,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15373,1,0.45697346329689,1,3,6.0048950570415,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15446,1,0.496085375547409,1,4,9.0089727439553,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15523,1,0.37152960896492,1,3,6.03813318456041,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
15731,1,0.391843527555466,1,4,8.76630909810695,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16025,1,0.223109349608421,1,4,7.38319719187592,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16159,1,0.485872834920883,1,3,6.00602119759724,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16177,1,0.467201739549637,1,4,6.2957573262592,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16225,1,0.470124483108521,1,4,6.17076921067816,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16232,1,0.32874870300293,1,4,7.37766487601954,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16233,1,0.436988234519959,1,2,8.6244638573002,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
16280,1,0.344431012868881,1,3,8.52844941756127,real,adult_complete,TabSyn,2,xgboost,2025-02-25 09:45:38
